fecha,clae2,salario_median,salario_normalizado,ipc_normalizado,salario_real,anio,mes
2019-04-01,24,47434,0.7978895193666315,112,42259,2019,4
2019-04-01,25,25903,0.7682930446388848,112,23077,2019,4
2019-04-01,26,38409,0.8228428199328384,112,34219,2019,4
2019-04-01,27,32461,0.7985633191264292,112,28919,2019,4
2019-04-01,28,31646,0.7811737601053216,112,28193,2019,4
2019-04-01,29,50148,0.8041037920524439,112,44677,2019,4
2019-04-01,30,30071,0.8394737760407579,112,26790,2019,4
2019-04-01,31,26040,0.8129011110793156,112,23199,2019,4
2019-04-01,32,30689,0.8132875750308074,112,27341,2019,4
2019-04-01,33,34577,0.8225699015114268,112,30805,2019,4
2019-04-01,35,72091,0.8637583570966428,112,64226,2019,4
2019-04-01,36,48185,0.8612140881529816,112,42928,2019,4
2019-04-01,37,36852,0.8427006116965527,112,32831,2019,4
2019-04-01,38,55058,0.8571929000592916,112,49051,2019,4
2019-04-01,39,38343,0.8020625241865476,112,34160,2019,4
2019-04-01,41,17100,0.8165701665373366,112,15234,2019,4
2019-04-01,42,34855,0.804307485217057,112,31052,2019,4
2019-04-01,43,22745,0.7916283575466307,112,20263,2019,4
2019-04-01,45,31917,0.8297187867601661,112,28435,2019,4
2019-04-01,46,34117,0.8483492164139672,112,30395,2019,4
2019-04-01,47,32061,0.853904952991415,112,28563,2019,4
2019-04-01,49,42399,0.8374904323350041,112,37773,2019,4
2019-04-01,50,70910,0.8570565247169735,112,63174,2019,4
2019-04-01,51,93001,1.087838081526544,112,82854,2019,4
2019-04-01,52,38549,0.846101084815329,112,34343,2019,4
2019-04-01,53,39434,0.8428739878380256,112,35132,2019,4
2019-04-01,55,27448,0.8086458246382434,112,24453,2019,4
2019-04-01,56,14875,0.8263429809455031,112,13252,2019,4
2019-04-01,58,35996,0.8379217232068035,112,32069,2019,4
2019-04-01,59,29592,0.8636952899828527,112,26363,2019,4
2019-04-01,60,49535,0.8265384444246685,112,44131,2019,4
2019-04-01,61,61707,0.8174962325912596,112,54975,2019,4
2019-04-01,62,49851,0.8512129042539871,112,44412,2019,4
2019-04-01,63,47185,0.8558770313513219,112,42037,2019,4
2019-04-01,64,66157,0.7325085717871023,112,58939,2019,4
2019-04-01,65,47584,0.8301960311079254,112,42393,2019,4
2019-04-01,66,34701,0.8540558278811247,112,30915,2019,4
2019-04-01,68,29148,0.8556855127737807,112,25968,2019,4
2019-04-01,69,26796,0.8382809546775812,112,23873,2019,4
2019-04-01,70,33869,0.8434303501945525,112,30174,2019,4
2019-04-01,71,30607,0.8361140515622332,112,27268,2019,4
2019-04-01,72,44562,0.8495605589766076,112,39700,2019,4
2019-04-01,73,34989,0.8754928802136874,112,31172,2019,4
2019-04-01,74,32408,0.8409998680855757,112,28872,2019,4
2019-04-01,75,18058,0.8559679884973476,112,16088,2019,4
2019-04-01,77,32002,0.8333148887138458,112,28511,2019,4
2019-04-01,78,27210,0.8856460887490507,112,24241,2019,4
2019-04-01,79,34352,0.874820143884892,112,30604,2019,4
2019-04-01,80,28650,0.8528160541754002,112,25524,2019,4
2019-04-01,81,20648,0.8815706143128563,112,18395,2019,4
2019-04-01,82,24816,0.8594236108305291,112,22109,2019,4
2019-04-01,85,21561,0.8892325775619413,112,19209,2019,4
2019-04-01,86,34397,0.8417193126990795,112,30644,2019,4
2019-04-01,87,26695,0.8476464408851679,112,23783,2019,4
2019-04-01,88,26051,0.8357045472772475,112,23209,2019,4
2019-04-01,90,20173,0.9301635728585096,112,17972,2019,4
2019-04-01,91,28634,0.8482619182221476,112,25510,2019,4
2019-04-01,92,33542,0.8525441571122657,112,29883,2019,4
2019-04-01,93,23855,0.8377867398722805,112,21252,2019,4
2019-04-01,94,34345,0.8261504045158238,112,30598,2019,4
2019-04-01,95,30751,0.8646401784521803,112,27396,2019,4
2019-04-01,96,20166,0.850613903427525,112,17966,2019,4
2019-05-01,1,20817,0.8387779154452872,116,18014,2019,5
2019-05-01,2,18182,0.8504971992344185,116,15734,2019,5
2019-05-01,3,44218,0.7542730425882754,116,38264,2019,5
2019-05-01,6,139261,0.8893139093993215,116,120510,2019,5
2019-05-01,7,102513,0.8842434854614303,116,88710,2019,5
2019-05-01,8,40855,0.8995579824624175,116,35354,2019,5
2019-05-01,9,130893,0.9796928036006324,116,113269,2019,5
2019-05-01,10,38636,0.8808418716787847,116,33434,2019,5
2019-05-01,11,45625,0.8893964450133693,116,39482,2019,5
2019-05-01,12,53207,0.7941985359512896,116,46043,2019,5
2019-05-01,13,26907,0.822659546279122,116,23284,2019,5
2019-05-01,14,28906,0.8932494862563928,116,25014,2019,5
2019-05-01,15,32889,0.8831138608876606,116,28461,2019,5
2019-05-01,16,22449,0.9025751676907922,116,19426,2019,5
2019-05-01,17,46262,0.9097842813667152,116,40033,2019,5
2019-05-01,18,36626,0.9392686940354328,116,31694,2019,5
2019-05-01,19,80073,0.7997176906898684,116,69292,2019,5
2019-05-01,20,48731,0.8482935398657578,116,42170,2019,5
2019-05-01,21,66959,0.8644723167197071,116,57943,2019,5
2019-05-01,22,39444,0.9021665583419264,116,34133,2019,5
2019-05-01,23,40964,0.8887796023012863,116,35448,2019,5
2019-05-01,24,57845,0.9730134344091328,116,50056,2019,5
2019-05-01,25,32947,0.9772208215927628,116,28511,2019,5
2019-05-01,26,42709,0.914962482660616,116,36958,2019,5
2019-05-01,27,38923,0.9575330418150396,116,33682,2019,5
2019-05-01,28,39540,0.9760352169172856,116,34216,2019,5
2019-05-01,29,56815,0.9110065594930924,116,49165,2019,5
2019-05-01,30,33720,0.9413406846494748,116,29180,2019,5
2019-05-01,31,29394,0.9176042726215592,116,25436,2019,5
2019-05-01,32,33930,0.8991771455829546,116,29361,2019,5
