fecha,clae2,w_median
2019-07-01,29,58155
2019-07-01,30,34744
2019-07-01,31,30659
2019-07-01,32,35976
2019-07-01,33,39773
2019-07-01,35,75412
2019-07-01,36,52035
2019-07-01,37,42224
2019-07-01,38,63816
2019-07-01,39,43717
2019-07-01,41,19840
2019-07-01,42,40479
2019-07-01,43,27160
2019-07-01,45,36095
2019-07-01,46,37123
2019-07-01,47,34921
2019-07-01,49,50493
2019-07-01,50,77388
2019-07-01,51,79622
2019-07-01,52,43423
2019-07-01,53,47119
2019-07-01,55,32715
2019-07-01,56,16946
2019-07-01,58,40000
2019-07-01,59,30250
2019-07-01,60,54312
2019-07-01,61,67492
2019-07-01,62,53532
2019-07-01,63,52319
2019-07-01,64,78695
2019-07-01,65,52712
2019-07-01,66,37334
2019-07-01,68,31625
2019-07-01,69,29500
2019-07-01,70,37374
2019-07-01,71,33989
2019-07-01,72,48676
2019-07-01,73,36689
2019-07-01,74,36129
2019-07-01,75,19098
2019-07-01,77,35853
2019-07-01,78,30954
2019-07-01,79,36427
2019-07-01,80,33318
2019-07-01,81,21591
2019-07-01,82,26634
2019-07-01,85,23748
2019-07-01,86,37590
2019-07-01,87,28777
2019-07-01,88,28853
2019-07-01,90,20000
2019-07-01,91,32152
2019-07-01,92,36452
2019-07-01,93,28010
2019-07-01,94,38537
2019-07-01,95,33266
2019-07-01,96,22155
2019-07-01,999,36540
2019-08-01,1,24900
2019-08-01,2,21267
2019-08-01,3,66507
2019-08-01,5,-99
2019-08-01,6,141315
2019-08-01,7,102679
2019-08-01,8,44515
2019-08-01,9,128028
2019-08-01,10,42673
2019-08-01,11,47874
2019-08-01,12,63904
2019-08-01,13,31975
2019-08-01,14,31279
2019-08-01,15,35558
2019-08-01,16,23962
2019-08-01,17,48661
2019-08-01,18,37542
2019-08-01,19,94942
2019-08-01,20,57154
2019-08-01,21,73670
2019-08-01,22,41948
2019-08-01,23,44951
2019-08-01,24,68603
2019-08-01,25,33739
2019-08-01,26,45176
2019-08-01,27,40039
2019-08-01,28,39902
2019-08-01,29,59742
2019-08-01,30,35739
2019-08-01,31,31140
2019-08-01,32,36750
2019-08-01,33,41612
2019-08-01,35,77583
2019-08-01,36,52640
2019-08-01,37,42324
2019-08-01,38,63990
2019-08-01,39,45633
2019-08-01,41,21052
2019-08-01,42,43862
2019-08-01,43,28614
2019-08-01,45,36568
2019-08-01,46,37435
2019-08-01,47,35085
2019-08-01,49,51194
2019-08-01,50,78332
2019-08-01,51,77713
2019-08-01,52,44123
2019-08-01,53,47430
2019-08-01,55,33802
2019-08-01,56,17827
2019-08-01,58,40577
2019-08-01,59,30235
2019-08-01,60,59014
2019-08-01,61,69206
2019-08-01,62,55000
2019-08-01,63,51612
2019-08-01,64,79257
2019-08-01,65,54397
2019-08-01,66,37504
2019-08-01,68,33005
2019-08-01,69,30000
2019-08-01,70,38350
2019-08-01,71,34898
2019-08-01,72,49629
2019-08-01,73,38150
2019-08-01,74,37142
2019-08-01,75,19370
2019-08-01,77,36266
2019-08-01,78,31883
2019-08-01,79,37319
2019-08-01,80,33298
2019-08-01,81,21741
2019-08-01,82,26557
2019-08-01,85,23352
2019-08-01,86,39555
2019-08-01,87,30495
2019-08-01,88,30389
2019-08-01,90,23833
2019-08-01,91,32261
2019-08-01,92,37583
2019-08-01,93,28043
2019-08-01,94,40400
2019-08-01,95,33241
2019-08-01,96,22879
2019-08-01,999,36838
2019-09-01,1,25135
2019-09-01,2,21944
2019-09-01,3,54215
2019-09-01,5,-99
2019-09-01,6,147639
2019-09-01,7,103680
2019-09-01,8,44736
2019-09-01,9,125420
2019-09-01,10,43083
2019-09-01,11,50257
2019-09-01,12,63378
2019-09-01,13,30937
2019-09-01,14,30835
2019-09-01,15,36000
2019-09-01,16,24447
2019-09-01,17,49020
2019-09-01,18,38147
2019-09-01,19,98079
2019-09-01,20,56339
2019-09-01,21,76166
2019-09-01,22,40711
2019-09-01,23,44112
2019-09-01,24,51515
2019-09-01,25,33214
