fecha,clae2,salario_median,salario_normalizado
2022-10-01,65,216203,3.7720845770348603
2022-10-01,66,166116,4.088422175277396
2022-10-01,68,129230,3.793750473986403
2022-10-01,69,129815,4.061107707548523
2022-10-01,70,167800,4.1786770428015565
2022-10-01,71,139206,3.8027932388594845
2022-10-01,72,243452,4.6413360532286045
2022-10-01,73,162918,4.076525452532326
2022-10-01,74,165551,4.296111119520956
2022-10-01,75,84579,4.00913260046058
2022-10-01,77,147771,3.8478774582880355
2022-10-01,78,122807,3.9971899750461106
2022-10-01,79,147726,3.7620424014770486
2022-10-01,80,124019,3.6916367966065957
2022-10-01,81,76523,3.2671652517949776
2022-10-01,82,114092,3.9512152888006415
2022-10-01,85,92260,3.8050460370977555
2022-10-01,86,163004,3.988825038439421
2022-10-01,87,126648,4.021454446346684
2022-10-01,88,122261,3.922078755313177
2022-10-01,90,64013,2.951596727774341
2022-10-01,91,132412,3.9226114799060907
2022-10-01,92,148708,3.7797429048909073
2022-10-01,93,100000,3.5119963943503687
2022-10-01,94,155551,3.741695197928109
2022-10-01,95,139710,3.928291090746776
2022-10-01,96,87031,3.6710194698602066
2022-11-01,1,110228,4.441409043748048
2022-11-01,2,101882,4.76572190366302
2022-11-01,3,182638,3.115448911127537
2022-11-01,6,696158,4.445630812213131
2022-11-01,7,464378,4.005572183933824
2022-11-01,8,212595,4.680982236729841
2022-11-01,9,606762,4.541422114997188
2022-11-01,10,175118,3.9924233068807693
2022-11-01,11,210454,4.102510453454107
2022-11-01,12,257683,3.846325884555344
2022-11-01,13,147271,4.502690528118057
2022-11-01,14,138207,4.270854900264211
2022-11-01,15,139125,3.735693268144236
2022-11-01,16,113587,4.566831732927703
2022-11-01,17,216992,4.267344922016477
2022-11-01,18,149914,3.844523753552882
2022-11-01,19,399012,3.985075558522171
2022-11-01,20,239607,4.171001420176369
2022-11-01,21,353000,4.557396732359454
2022-11-01,22,169277,3.871718093916597
2022-11-01,23,188130,4.081781724952178
2022-11-01,24,246201,4.141358467714805
2022-11-01,25,137088,4.066083345691829
2022-11-01,26,192085,4.115071026759334
2022-11-01,27,165213,4.064355430912009
2022-11-01,28,165333,4.081204616049205
2022-11-01,29,272048,4.362184502278919
2022-11-01,30,141739,3.956841260425027
2022-11-01,31,138566,4.325670328641184
2022-11-01,32,154198,4.086393088552915
2022-11-01,33,153354,3.6482165797027895
2022-11-01,35,325132,3.895569241091754
2022-11-01,36,226686,4.051575734918476
2022-11-01,37,176175,4.028622062999028
2022-11-01,38,264529,4.118427488462791
2022-11-01,39,243647,5.096631140768322
2022-11-01,41,96768,4.620927595057601
2022-11-01,42,169872,3.9199346185279555
2022-11-01,43,124090,4.3188904325329265
2022-11-01,45,154605,4.019133158725929
2022-11-01,46,163390,4.062836077904801
2022-11-01,47,152935,4.073233959818535
2022-11-01,49,224104,4.4266363793486585
2022-11-01,50,380059,4.593598162845977
2022-11-01,51,283223,3.3128758289071345
2022-11-01,52,193363,4.244069731073347
2022-11-01,53,195185,4.171941961661638
2022-11-01,55,126695,3.732562764228441
2022-11-01,56,69273,3.848286206321871
2022-11-01,58,167972,3.910084111859462
2022-11-01,59,144578,4.219766748957181
2022-11-01,60,244360,4.077378303817745
2022-11-01,61,278013,3.6831247688494635
2022-11-01,62,270380,4.61677689619452
2022-11-01,63,225055,4.0822169183166634
2022-11-01,64,490717,5.433354124607395
2022-11-01,65,237234,4.139011542616375
2022-11-01,66,176501,4.344016243821399
2022-11-01,68,140000,4.109920810632953
2022-11-01,69,138000,4.317165686875138
2022-11-01,70,181078,4.509335408560311
2022-11-01,71,151172,4.1296773092026635
2022-11-01,72,252907,4.821592663908642
2022-11-01,73,172958,4.327745793706564
2022-11-01,74,171319,4.445792903003972
2022-11-01,75,90862,4.306953337625761
2022-11-01,77,157377,4.098012538001341
2022-11-01,78,139094,4.527308234783552
2022-11-01,79,149942,3.8184758387979882
2022-11-01,80,134186,3.9942748707008815
2022-11-01,81,84627,3.61316720154272
2022-11-01,82,119700,4.145430618005091
2022-11-01,85,99331,4.09667274995618
2022-11-01,86,181449,4.440187445705593
2022-11-01,87,141783,4.50203616137935
2022-11-01,88,137115,4.3985884994787074
2022-11-01,90,57349,2.6443241332406027
2022-11-01,91,141349,4.187363759124898
2022-11-01,92,152071,3.865220992076184
2022-11-01,93,103776,3.6446093782010385
2022-11-01,94,168103,4.043626771009565
2022-11-01,95,150000,4.217619809691621
2022-11-01,96,92783,3.913642259333336
2022-12-01,1,204308,8.232167860344706
2022-12-01,2,172365,8.062696609066139
2022-12-01,3,330507,5.637806334224143
2022-12-01,6,1122791,7.170088205946917
2022-12-01,7,808392,6.972924016457782
2022-12-01,8,360109,7.928990955979898
2022-12-01,9,935591,7.002603422746206
2022-12-01,10,295777,6.743264475606582
2022-12-01,11,330544,6.443499364832858
2022-12-01,12,388035,5.792035425749595
2022-12-01,13,266816,8.157681253949166
2022-12-01,14,223487,6.90616646837966
2022-12-01,15,234565,6.298385562927244
2022-12-01,16,205224,8.251150884857907
2022-12-01,17,377340,7.420734095605817
2022-12-01,18,243449,6.243215865620926
2022-12-01,19,680868,6.800072241887145
2022-12-01,20,376283,6.550213171519299
2022-12-01,21,543448,7.016170366592862
2022-12-01,22,289244,6.6156136294760195
2022-12-01,23,314652,6.82687919693644
2022-12-01,24,406057,6.83030367595936
2022-12-01,25,238916,7.086341391072223
2022-12-01,26,319586,6.846547565702208
2022-12-01,27,287887,7.082221689207058
2022-12-01,28,285774,7.0542612058502865
2022-12-01,29,450657,7.2261107644368305
2022-12-01,30,235209,6.566186272115016
2022-12-01,31,237256,7.406515591790864
2022-12-01,32,253390,6.7150750639335355
2022-12-01,33,242571,5.770645330119105
2022-12-01,35,501490,6.008602717404328
2022-12-01,36,355282,6.349981605627635
2022-12-01,37,270720,6.190597785696591
2022-12-01,38,398747,6.2080550931734235
2022-12-01,39,373970,7.822740061290019
2022-12-01,41,151937,7.255393063928849
2022-12-01,42,271903,6.2743829623575795
2022-12-01,43,203517,7.083307471656084
2022-12-01,45,241822,6.286438463888112
2022-12-01,46,251019,6.24180824676899
2022-12-01,47,228829,6.094576478839478
2022-12-01,49,341351,6.742569319276067
2022-12-01,50,557027,6.732528906973933
2022-12-01,51,420000,4.912764316955178
2022-12-01,52,291098,6.389227569783202
2022-12-01,53,287311,6.141070353495232
2022-12-01,55,206556,6.085348548308693
2022-12-01,56,116127,6.451141603244264
2022-12-01,58,273735,6.372055308979174
2022-12-01,59,228993,6.683569057145289
2022-12-01,60,392342,6.546598291358904
2022-12-01,61,445258,5.898791669196672
2022-12-01,62,406901,6.94789235830478
2022-12-01,63,349141,6.332982146932963
2022-12-01,64,567419,6.282619848162186
2022-12-01,65,369797,6.451832584810387
2022-12-01,66,271432,6.680443833705929
2022-12-01,68,220364,6.4691327822451425
2022-12-01,69,219015,6.851623499354771
2022-12-01,70,284365,7.081463035019455
2022-12-01,71,235741,6.439911217346765
2022-12-01,72,390555,7.445808628677101
2022-12-01,73,279034,6.98197377282992
2022-12-01,74,278425,7.225234148103135
2022-12-01,75,134561,6.378331404374326
2022-12-01,77,245137,6.383235793845573
2022-12-01,78,185847,6.049050667245308
2022-12-01,79,229203,5.836964410772267
2022-12-01,80,199051,5.925092090738834
2022-12-01,81,120022,5.124364019326697
2022-12-01,82,186339,6.453261453036346
2022-12-01,85,153959,6.349675729736975
2022-12-01,86,305485,7.47543751605891
2022-12-01,87,245840,7.806158495119299
2022-12-01,88,208881,6.700810008821878
2022-12-01,90,116094,5.353016895228069
2022-12-01,91,219896,6.5142628612620435
2022-12-01,92,254207,6.461233454982939
2022-12-01,93,169944,5.96842715241479
2022-12-01,94,271310,6.526215351555922
2022-12-01,95,223958,6.297131315592774
2022-12-01,96,145970,6.15710163063155
2023-01-01,1,127733,5.146736776364167
2023-01-01,2,109745,5.133528496864001
2023-01-01,3,266464,4.545357366236424
2023-01-01,6,827649,5.285325883057274
2023-01-01,7,639841,5.519058421674588
2023-01-01,8,264363,5.820826016832997
2023-01-01,9,681364,5.099794545411452
2023-01-01,10,205553,4.686294886872068
2023-01-01,11,246600,4.807126867732534
2023-01-01,12,276504,4.127259044574499
2023-01-01,13,167081,5.108365096512505
2023-01-01,14,149633,4.623939679547597
2023-01-01,15,144047,3.8678555845202
2023-01-01,16,130494,5.246587551010835
2023-01-01,17,261273,5.138171037688076
2023-01-01,18,168069,4.3101062124676774
2023-01-01,19,481453,4.808443312174006
2023-01-01,20,281579,4.901636466763667
2023-01-01,21,412606,5.32693834603939
2023-01-01,22,195701,4.476090093146571
2023-01-01,23,219521,4.762859756781093
2023-01-01,24,299269,5.034017763025097
2023-01-01,25,159927,4.743496959810174
2023-01-01,26,202174,4.331209463331554
2023-01-01,27,195008,4.797333284131933
2023-01-01,28,194371,4.79800053483636
2023-01-01,29,308355,4.944353210463654
2023-01-01,30,159447,4.451184701818055
2023-01-01,31,158179,4.937937206198735
2023-01-01,32,175100,4.640315891293114
2023-01-01,33,172909,4.113420455807019
2023-01-01,35,415698,4.980685821092234
2023-01-01,36,255099,4.559403396777783
2023-01-01,37,185165,4.2341978390533
2023-01-01,38,275264,4.285559708705744
2023-01-01,39,271676,5.682944431080106
2023-01-01,41,103595,4.946934877335402
2023-01-01,42,189913,4.382397000144224
2023-01-01,43,141758,4.9338163424530785
2023-01-01,45,169635,4.409855136512228
2023-01-01,46,172173,4.281233098972417
2023-01-01,47,156059,4.1564378234892
2023-01-01,49,240026,4.741137255870226
2023-01-01,50,428873,5.183590508037549
2023-01-01,51,355721,4.160889132360984
2023-01-01,52,209591,4.600253507679307
2023-01-01,53,205220,4.386433021862342
2023-01-01,55,150258,4.426752561880399
2023-01-01,56,84966,4.720071107160713
2023-01-01,58,197266,4.591995406437196
2023-01-01,59,155691,4.544119471232777
2023-01-01,60,294553,4.9148961021624995
2023-01-01,61,394958,5.232415723204477
2023-01-01,62,303750,5.186574385010302
2023-01-01,63,254967,4.62478327969805
2023-01-01,64,407751,4.5147316633880425
2023-01-01,65,270290,4.715738173507085
2023-01-01,66,190505,4.68868059970876
2023-01-01,68,150000,4.403486582821021
2023-01-01,69,150345,4.703364312994512
2023-01-01,70,202556,5.044196108949416
2023-01-01,71,163944,4.478579477548233
2023-01-01,72,290377,5.535946466360361
2023-01-01,73,202500,5.066944132249327
2023-01-01,74,202534,5.255833969478029
2023-01-01,75,95000,4.503098843019605
2023-01-01,77,169250,4.407179079895582
2023-01-01,78,151800,4.9408701312791585
2023-01-01,79,160051,4.075915197045903
2023-01-01,80,169725,5.052153745023379
2023-01-01,81,95845,4.092122022898862
2023-01-01,82,129663,4.490467587488673
2023-01-01,85,117057,4.827739800179406
2023-01-01,86,205004,5.016595225762773
2023-01-01,87,156332,4.96401061608766
2023-01-01,88,155158,4.977399951880664
2023-01-01,90,95323,4.395279941287449
2023-01-01,91,155545,4.607910179152893
2023-01-01,92,172353,4.380732905335709
2023-01-01,93,123457,4.335805388573134
2023-01-01,94,192602,4.632936969298491
2023-01-01,95,152407,4.285298548904473
2023-01-01,96,103679,4.373242035776176
2023-02-01,1,130094,5.2418683831454675
2023-02-01,2,120374,5.630719935136063
2023-02-01,3,211407,3.606192073690794
2023-02-01,6,1173824,7.495982438635003
2023-02-01,7,597701,5.15557261521741
2023-02-01,8,265346,5.842470013816488
2023-02-01,9,720603,5.3934860791106205
2023-02-01,10,200780,4.577477766737405
2023-02-01,11,236658,4.613321290607648
2023-02-01,12,265906,3.969067150951259
2023-02-01,13,175091,5.353264303622022
2023-02-01,14,155857,4.816272925325628
2023-02-01,15,157072,4.217594343316812
2023-02-01,16,126876,5.101123746088332
2023-02-01,17,241202,4.743456578492379
2023-02-01,18,170647,4.376218665184964
2023-02-01,19,457967,4.573880229942265
2023-02-01,20,275547,4.796633355141285
2023-02-01,21,392259,5.064248965548405
2023-02-01,22,200635,4.588940965240147
2023-02-01,23,218083,4.731660043176238
2023-02-01,24,292342,4.917498373965506
2023-02-01,25,153314,4.547352810321815
2023-02-01,26,214472,4.594671698732998
2023-02-01,27,192174,4.727614900643923
2023-02-01,28,183976,4.541402505502643
2023-02-01,29,329167,5.278065584241181
2023-02-01,30,163787,4.57234183620058
2023-02-01,31,154454,4.821652389041652
2023-02-01,32,177846,4.713087492877871
2023-02-01,33,180442,4.292626837739679
2023-02-01,35,397255,4.759711006206417
2023-02-01,36,263667,4.712539897914957
2023-02-01,37,203400,4.651180517178954
2023-02-01,38,308487,4.802805517101796
2023-02-01,39,288050,6.025457321856272
2023-02-01,41,110163,5.260574225511848
2023-02-01,42,198030,4.56970337964521
2023-02-01,43,142402,4.956230440595969
2023-02-01,45,183955,4.782119855201502
2023-02-01,46,190147,4.728172420009574
2023-02-01,47,175052,4.662292811548397
2023-02-01,49,273596,5.404231994271746
2023-02-01,50,431102,5.210531404858789
2023-02-01,51,340851,3.986953881424975
2023-02-01,52,228164,5.0079070252355375
2023-02-01,53,237005,5.065815019717788
2023-02-01,55,157143,4.629591621288527
2023-02-01,56,86708,4.816843508693961
2023-02-01,58,193191,4.497136782643782
2023-02-01,59,164105,4.789697065512167
2023-02-01,60,278989,4.655196004271603
2023-02-01,61,339105,4.492473462538433
2023-02-01,62,317253,5.417140027547896
2023-02-01,63,263049,4.77138067648477
2023-02-01,64,449846,4.980819126987934
2023-02-01,65,270393,4.717535210141334
2023-02-01,66,206079,5.0719855610476445
2023-02-01,68,156568,4.596300581994144
2023-02-01,69,163301,5.1086773466115725
2023-02-01,70,213556,5.31812607003891
2023-02-01,71,177091,4.8377257981902
2023-02-01,72,300071,5.720759537109412
2023-02-01,73,202725,5.072574070174049
2023-02-01,74,209900,5.446984457885779
2023-02-01,75,104045,4.931841253915524
2023-02-01,77,184796,4.811988568675829
2023-02-01,78,162590,5.29206900292937
2023-02-01,79,168317,4.286420067485834
2023-02-01,80,170019,5.060905155841095
2023-02-01,81,104416,4.458062633867261
2023-02-01,82,142501,4.935071081840797
2023-02-01,85,119131,4.913277037128688
2023-02-01,86,209748,5.132684315492821
2023-02-01,87,164009,5.207778427538322
2023-02-01,88,158174,5.0741518967038255
2023-02-01,90,59786,2.7566925775501345
2023-02-01,91,170830,5.060717450928598
2023-02-01,92,185549,4.716138447558995
2023-02-01,93,126359,4.437723523937183
2023-02-01,94,199430,4.797180817370527
2023-02-01,95,170695,4.799510756102076
2023-02-01,96,107592,4.538294708795709
2023-03-01,1,138965,5.599306961610911
